State,Line Item,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Year 11,Year 12,Year 13,Year 14,Year 15,Year 16,Year 17,Year 18,Year 19,Year 20,Year 21,Year 22,Year 23,Year 24,Year 25
New Mexico,Labor,0.184133331,0.187637572,0.19120651,0.194841275,0.198543017,0.202312903,0.206048594,0.209848036,0.213712116,0.217641728,0.221637767,0.225578001,0.229577142,0.233635564,0.237753616,0.241931621,0.246169873,0.250468634,0.254828136,0.259248572,0.263554242,0.267906016,0.272302998,0.276744187,0.281228478
New Mexico,By-product management ,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616
New Mexico,Heat Cost,0.967646739,0.976394749,0.985211578,0.994097538,1.003052937,1.012078081,1.02066047,1.029289993,1.037966147,1.046688402,1.055456196,1.063688328,1.071932644,1.080187147,1.088449758,1.09671831,1.104990545,1.113264115,1.121536576,1.129805384,1.137309007,1.144753914,1.152134801,1.159446147,1.166682204
New Mexico,Electricity Cost,0.299458696,0.300670081,0.30188322,0.303098058,0.304314536,0.305532596,0.306598139,0.307659732,0.30871717,0.309770242,0.310818732,0.311692285,0.312553124,0.313400756,0.314234677,0.315054368,0.315859294,0.31664891,0.317422652,0.318179945,0.318707534,0.319205728,0.319673416,0.320109451,0.320512651
New Mexico,Other Related Expenses,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232
New York,Maintenance,0.012944573,0.013335499,0.013738231,0.014153126,0.01458055,0.015020883,0.01555112,0.016100075,0.016668407,0.017256802,0.017865967,0.018587752,0.019338697,0.020119981,0.020932828,0.021778514,0.022658366,0.023573764,0.024526144,0.025517001,0.026678024,0.027891874,0.029160955,0.030487778,0.031874972
New York,Legal/Permitting,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569
New York,Labor,0.27251733,0.277703607,0.282985635,0.288365088,0.293843666,0.299423096,0.304951919,0.310575093,0.316293932,0.322109758,0.328023895,0.333855441,0.33977417,0.345780634,0.351875352,0.358058799,0.364331412,0.370693579,0.377145641,0.383687887,0.390060278,0.396500904,0.403008436,0.409581397,0.416218148
New York,By-product management ,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616
New York,Heat Cost,0.967646739,0.976394749,0.985211578,0.994097538,1.003052937,1.012078081,1.02066047,1.029289993,1.037966147,1.046688402,1.055456196,1.063688328,1.071932644,1.080187147,1.088449758,1.09671831,1.104990545,1.113264115,1.121536576,1.129805384,1.137309007,1.144753914,1.152134801,1.159446147,1.166682204
New York,Electricity Cost,0.401341304,0.40296483,0.404590707,0.406218859,0.407849211,0.409481683,0.410909747,0.412332518,0.413749721,0.415161072,0.416566282,0.417737037,0.418890752,0.420026769,0.421144409,0.422242976,0.423321757,0.424380017,0.425417005,0.426431945,0.427139031,0.427806723,0.428433528,0.429017913,0.42955829
New York,Other Related Expenses,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232
North Carolina,Maintenance,0.008454789,0.008710123,0.008973169,0.009244159,0.009523332,0.009810937,0.010157263,0.010515815,0.010887023,0.011271335,0.011669213,0.012140649,0.012631131,0.013141429,0.013672343,0.014224705,0.014799383,0.015397278,0.016019329,0.016666509,0.017424836,0.018217666,0.019046569,0.019913188,0.020819238
North Carolina,Legal/Permitting,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569
