State,0,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Year 11,Year 12,Year 13,Year 14,Year 15,Year 16,Year 17,Year 18,Year 19,Year 20,Year 21,Year 22,Year 23,Year 24,Year 25
Hawaii," $(1,314,457.25)"," $(450,390.26)"," $(455,255.08)"," $(463,238.94)"," $(471,355.70)"," $(479,606.99)"," $(487,994.43)"," $(498,985.96)"," $(510,145.60)"," $(521,474.37)"," $(532,973.23)"," $(526,383.95)"," $(539,081.27)"," $(553,624.38)"," $(568,352.18)"," $(583,263.31)"," $(598,356.23)"," $(613,629.25)"," $(629,080.46)"," $(644,707.77)"," $(660,508.89)"," $(678,985.40)"," $(697,609.48)"," $(716,373.28)"," $(735,268.43)"," $(754,286.03)"
Idaho," $(1,314,457.25)"," $(83,778.29)"," $(86,224.79)"," $(92,909.29)"," $(99,726.95)"," $(106,679.36)"," $(113,768.16)"," $(124,273.27)"," $(134,961.51)"," $(145,833.97)"," $(156,891.74)"," $(150,029.78)"," $(163,178.32)"," $(178,188.95)"," $(193,414.55)"," $(208,853.82)"," $(224,505.27)"," $(240,367.22)"," $(256,437.78)"," $(272,714.82)"," $(289,196.02)"," $(309,293.83)"," $(329,583.02)"," $(350,055.37)"," $(370,702.11)"," $(391,513.86)"
Illinois," $(1,314,457.25)"," $(315,310.38)"," $(319,382.55)"," $(325,595.06)"," $(331,915.79)"," $(338,346.06)"," $(344,887.18)"," $(353,493.72)"," $(362,237.64)"," $(371,119.81)"," $(380,141.05)"," $(371,947.20)"," $(381,667.06)"," $(393,118.19)"," $(404,722.04)"," $(416,477.67)"," $(428,383.98)"," $(440,439.74)"," $(452,643.58)"," $(464,993.96)"," $(477,489.20)"," $(492,124.60)"," $(506,887.22)"," $(521,771.10)"," $(536,769.86)"," $(551,876.69)"
Indiana," $(1,314,457.25)"," $333,247.81 "," $334,253.59 "," $326,036.40 "," $317,623.77 "," $309,013.33 "," $300,202.68 "," $284,878.84 "," $269,262.52 "," $253,351.97 "," $237,145.52 "," $239,090.32 "," $217,475.41 "," $193,820.61 "," $169,804.86 "," $145,430.22 "," $120,699.10 "," $95,614.21 "," $70,178.64 "," $44,395.81 "," $18,269.54 "," $(14,843.39)"," $(48,295.45)"," $(82,073.17)"," $(116,162.11)"," $(150,546.85)"
Iowa," $(1,314,457.25)"," $(245,869.94)"," $(249,326.02)"," $(255,117.71)"," $(261,012.85)"," $(267,012.67)"," $(273,118.42)"," $(281,386.65)"," $(289,789.11)"," $(298,326.61)"," $(306,999.93)"," $(299,184.03)"," $(308,722.42)"," $(319,924.39)"," $(331,277.64)"," $(342,781.19)"," $(354,433.90)"," $(366,234.49)"," $(378,181.54)"," $(390,273.48)"," $(402,508.57)"," $(416,998.25)"," $(431,615.51)"," $(446,354.35)"," $(461,208.34)"," $(476,170.66)"
Kansas," $(1,314,457.25)"," $(339,530.85)"," $(343,849.57)"," $(350,017.17)"," $(356,288.96)"," $(362,666.17)"," $(369,150.06)"," $(377,550.18)"," $(386,081.16)"," $(394,743.78)"," $(403,538.78)"," $(394,382.70)"," $(403,646.57)"," $(414,699.16)"," $(425,895.57)"," $(437,234.79)"," $(448,715.70)"," $(460,337.01)"," $(472,097.32)"," $(483,995.06)"," $(496,028.52)"," $(510,036.19)"," $(524,160.71)"," $(538,396.20)"," $(552,736.39)"," $(567,174.61)"
Kentucky," $(1,314,457.25)"," $223,223.32 "," $223,237.57 "," $215,394.91 "," $207,372.55 "," $199,168.29 "," $190,779.94 "," $176,707.10 "," $162,370.00 "," $147,767.06 "," $132,896.74 "," $136,425.11 "," $117,061.01 "," $95,675.21 "," $73,966.32 "," $51,936.21 "," $29,587.00 "," $6,921.14 "," $(16,058.64)"," $(39,349.26)"," $(62,947.33)"," $(92,631.05)"," $(122,615.76)"," $(152,889.40)"," $(183,439.07)"," $(214,250.96)"
Louisiana," $(1,314,457.25)"," $54,820.64 "," $53,487.74 "," $46,551.30 "," $39,466.55 "," $32,231.68 "," $24,844.88 "," $13,205.69 "," $1,355.32 "," $(10,707.48)"," $(22,983.96)"," $(17,682.80)"," $(32,982.24)"," $(50,153.81)"," $(67,578.75)"," $(85,255.58)"," $(103,182.61)"," $(121,357.90)"," $(139,779.28)"," $(158,444.31)"," $(177,350.30)"," $(200,787.40)"," $(224,455.93)"," $(248,346.38)"," $(272,448.54)"," $(296,751.52)"
Maine," $(1,314,457.25)"," $(386,894.94)"," $(392,012.58)"," $(398,625.65)"," $(405,350.35)"," $(412,188.10)"," $(419,140.34)"," $(427,765.86)"," $(436,526.51)"," $(445,423.27)"," $(454,457.09)"," $(446,107.68)"," $(455,412.02)"," $(466,456.04)"," $(477,646.32)"," $(488,982.18)"," $(500,462.83)"," $(512,087.33)"," $(523,854.62)"," $(535,763.54)"," $(547,812.74)"," $(561,570.83)"," $(575,449.66)"," $(589,444.00)"," $(603,548.30)"," $(617,756.61)"
Maryland," $(1,314,457.25)"," $483,049.98 "," $485,072.58 "," $475,956.05 "," $466,613.02 "," $457,040.67 "," $447,236.12 "," $429,768.05 "," $411,958.55 "," $393,805.46 "," $375,306.68 "," $374,179.78 "," $348,953.48 "," $321,690.10 "," $294,002.31 "," $265,892.27 "," $237,362.49 "," $208,415.89 "," $179,055.76 "," $149,285.81 "," $119,110.19 "," $80,695.33 "," $41,875.62 "," $2,666.26 "," $(36,916.45)"," $(76,855.10)"
Massachusetts," $(1,314,457.25)"," $(135,402.15)"," $(138,257.76)"," $(146,632.08)"," $(155,172.81)"," $(163,882.03)"," $(172,761.90)"," $(185,773.72)"," $(199,012.06)"," $(212,478.45)"," $(226,174.36)"," $(222,308.71)"," $(238,909.46)"," $(257,393.87)"," $(276,143.29)"," $(295,156.33)"," $(314,431.41)"," $(333,966.69)"," $(353,760.09)"," $(373,809.29)"," $(394,111.67)"," $(418,780.53)"," $(443,686.25)"," $(468,819.12)"," $(494,168.77)"," $(519,724.11)"
Michigan," $(1,314,457.25)"," $(584,133.18)"," $(590,603.26)"," $(596,873.07)"," $(603,232.43)"," $(609,682.43)"," $(616,224.19)"," $(623,408.05)"," $(630,688.55)"," $(638,066.36)"," $(645,542.12)"," $(634,740.61)"," $(641,288.94)"," $(649,602.16)"," $(658,009.21)"," $(666,509.47)"," $(675,102.24)"," $(683,786.75)"," $(692,562.11)"," $(701,427.37)"," $(710,381.47)"," $(719,909.92)"," $(729,502.24)"," $(739,154.59)"," $(748,862.89)"," $(758,622.79)"
Minnesota," $(1,314,457.25)"," $(399,635.33)"," $(404,658.73)"," $(410,868.58)"," $(417,179.92)"," $(423,594.01)"," $(430,112.12)"," $(438,097.84)"," $(446,205.19)"," $(454,435.02)"," $(462,788.12)"," $(453,997.82)"," $(462,415.88)"," $(472,534.33)"," $(482,782.79)"," $(493,160.51)"," $(503,666.67)"," $(514,300.30)"," $(525,060.34)"," $(535,945.58)"," $(546,954.70)"," $(559,450.28)"," $(572,049.90)"," $(584,748.62)"," $(597,541.18)"," $(610,421.99)"
Mississippi," $(1,314,457.25)"," $(287,087.31)"," $(291,154.82)"," $(297,589.66)"," $(304,137.56)"," $(310,799.86)"," $(317,577.91)"," $(326,625.67)"," $(335,818.63)"," $(345,157.65)"," $(354,643.57)"," $(345,609.66)"," $(355,895.65)"," $(368,042.05)"," $(380,350.88)"," $(392,821.06)"," $(405,451.36)"," $(418,240.40)"," $(431,186.64)"," $(444,288.38)"," $(457,543.73)"," $(473,157.88)"," $(488,907.65)"," $(504,786.58)"," $(520,787.74)"," $(536,903.73)"
Missouri," $(1,314,457.25)"," $(330,115.20)"," $(334,756.31)"," $(341,265.05)"," $(347,886.15)"," $(354,620.99)"," $(361,470.96)"," $(370,289.15)"," $(379,247.59)"," $(388,347.21)"," $(397,588.88)"," $(388,305.95)"," $(398,028.00)"," $(409,602.42)"," $(421,331.41)"," $(433,214.07)"," $(445,249.40)"," $(457,436.22)"," $(469,773.24)"," $(482,259.02)"," $(494,891.94)"," $(509,556.88)"," $(524,350.44)"," $(539,266.79)"," $(554,299.67)"," $(569,442.43)"
Montana," $(1,314,457.25)"," $(400,464.53)"," $(405,587.59)"," $(411,802.13)"," $(418,117.51)"," $(424,534.98)"," $(431,055.77)"," $(439,040.81)"," $(447,146.78)"," $(455,374.46)"," $(463,724.61)"," $(453,895.04)"," $(462,211.74)"," $(472,322.02)"," $(482,561.30)"," $(492,928.80)"," $(503,423.60)"," $(514,044.69)"," $(524,790.93)"," $(535,661.06)"," $(546,653.68)"," $(559,128.47)"," $(571,705.60)"," $(584,380.05)"," $(597,146.46)"," $(609,999.12)"
Nebraska," $(1,314,457.25)"," $(331,467.39)"," $(335,978.01)"," $(342,300.32)"," $(348,731.95)"," $(355,274.25)"," $(361,928.57)"," $(370,479.08)"," $(379,165.79)"," $(387,989.63)"," $(396,951.47)"," $(388,204.26)"," $(397,642.34)"," $(408,853.72)"," $(420,215.18)"," $(431,725.87)"," $(443,384.84)"," $(455,190.99)"," $(467,143.11)"," $(479,239.82)"," $(491,479.59)"," $(505,676.65)"," $(519,998.88)"," $(534,440.69)"," $(548,996.08)"," $(563,658.67)"
Nevada," $(1,314,457.25)"," $1,248,064.41 "," $1,256,281.86 "," $1,244,746.55 "," $1,232,880.26 "," $1,220,678.91 "," $1,208,138.41 "," $1,182,474.97 "," $1,156,282.56 "," $1,129,558.02 "," $1,102,298.29 "," $1,094,626.41 "," $1,054,958.40 "," $1,012,781.24 "," $969,927.64 "," $926,401.24 "," $882,206.31 "," $837,347.71 "," $791,830.96 "," $745,662.27 "," $698,848.51 "," $637,849.84 "," $576,191.38 "," $513,897.74 "," $450,995.30 "," $387,512.30 "
