State ,NPV (After-Tax),IRR,TCO,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Year 11,Year 12,Year 13,Year 14,Year 15,Year 16,Year 17,Year 18,Year 19,Year 20,Year 21,Year 22,Year 23,Year 24,Year 25
New Mexico,"$12,524,059.74 ",113%,"$27,513,276.47 ","$2,747,386.68 ","$2,768,661.33 ","$2,748,703.82 ","$2,728,151.90 ","$2,706,998.22 ","$2,685,235.41 ","$2,638,299.41 ","$2,590,394.48 ","$2,541,514.84 ","$2,491,654.96 ","$2,440,809.58 ","$2,363,694.57 ","$2,285,323.86 ","$2,205,703.24 ","$2,124,839.52 ","$2,042,740.68 ","$1,959,415.80 ","$1,874,875.21 ","$1,789,130.44 ","$1,702,194.36 ","$1,588,047.43 ","$1,472,674.42 ","$1,356,121.09 ","$1,238,436.51 "," $1,119,673.16 "
New York,"($4,797,053.58)",Negative,"$31,153,245.09 ","($221,059.85)","($224,199.08)","($237,330.19)","($250,699.28)","($264,309.35)","($278,163.43)","($297,753.18)","($317,657.77)","($337,879.27)","($358,419.69)","($379,280.97)","($406,073.96)","($433,228.83)","($460,743.79)","($488,616.76)","($516,845.33)","($545,426.80)","($574,358.08)","($603,635.77)","($633,256.09)","($668,864.90)","($704,783.97)","($740,999.50)","($777,496.69)"," $(814,259.80)"
North Carolina,"($5,006,436.48)",Negative,"$26,908,204.37 ","($272,365.54)","($275,521.53)","($286,440.09)","($297,544.59)","($308,837.24)","($320,320.28)","($336,204.35)","($352,331.08)","($368,701.84)","($385,317.99)","($402,180.81)","($423,586.14)","($445,266.07)","($467,218.83)","($489,442.41)","($511,934.53)","($534,692.64)","($557,713.95)","($580,995.33)","($604,533.40)","($632,631.86)","($660,955.61)","($689,493.13)","($718,232.18)"," $(747,159.70)"
North Dakota,"$7,973,703.70 ",77%,"$26,149,342.90 ","$1,900,209.57 ","$1,914,494.42 ","$1,897,435.91 ","$1,879,905.03 ","$1,861,895.96 ","$1,843,402.87 ","$1,805,852.04 ","$1,767,547.46 ","$1,728,484.63 ","$1,688,659.24 ","$1,648,067.21 ","$1,587,599.88 ","$1,526,166.11 ","$1,463,770.44 ","$1,400,418.23 ","$1,336,115.70 ","$1,270,869.95 ","$1,204,689.02 ","$1,137,581.91 ","$1,069,558.61 ","$980,983.60 ","$891,475.29 ","$801,069.18 ","$709,803.31 "," $617,718.37 "
Ohio,"($3,732,678.80)",Negative,"$27,897,475.21 ","($12,958.95)","($14,221.68)","($26,475.17)","($38,962.15)","($51,685.49)","($64,648.07)","($84,008.14)","($103,689.07)","($123,692.82)","($144,021.28)","($164,676.26)","($191,960.65)","($219,622.33)","($247,659.26)","($276,069.08)","($304,849.07)","($333,996.19)","($363,507.01)","($393,377.73)","($423,604.15)","($460,562.70)","($497,850.91)","($535,454.06)","($573,356.37)"," $(611,541.05)"
Oklahoma,"($4,175,459.52)",Negative,"$26,201,817.36 ","($166,022.94)","($168,429.07)","($179,468.87)","($190,705.05)","($202,139.95)","($213,775.95)","($230,367.79)","($247,221.52)","($264,338.65)","($281,720.65)","($299,368.93)","($322,141.46)","($345,215.26)","($368,588.51)","($392,259.09)","($416,224.65)","($440,482.52)","($465,029.73)","($489,863.02)","($514,978.78)","($545,265.79)","($575,806.80)","($606,589.52)","($637,600.83)"," $(668,826.77)"
Oregon,"($1,772,703.32)",Negative,"$28,730,297.99 ","$183,328.01 ","$183,039.95 ","$169,341.22 ","$155,362.54 ","$141,100.36 ","$126,551.08 ","$104,094.24 ","$81,246.27 ","$58,004.55 ","$34,366.58 ","$10,329.91 ","($21,915.18)","($54,627.36)","($87,804.61)","($121,444.55)","($155,544.37)","($190,100.87)","($225,110.41)","($260,568.91)","($296,471.82)","($340,751.94)","($385,455.06)","($430,564.23)","($476,061.30)"," $(521,926.87)"
Pennsylvania,"($2,828,744.99)",Negative,"$27,804,306.74 ","$114,990.41 ","$115,104.02 ","$102,814.42 ","$90,282.30 ","$77,504.73 ","$64,478.77 ","$44,188.00 ","$23,554.52 ","$2,576.37 ","($18,748.36)","($40,421.46)","($69,630.89)","($99,249.37)","($129,274.50)","($159,703.55)","($190,533.40)","($221,760.54)","($253,381.05)","($285,390.59)","($317,784.38)","($357,854.64)","($398,285.56)","($439,060.78)","($480,162.81)"," $(521,572.99)"
Rhode Island,"($6,004,390.24)",Negative,"$33,369,440.68 ","($377,964.24)","($381,863.09)","($394,985.59)","($408,333.47)","($421,909.51)","($435,716.53)","($454,733.22)","($474,042.90)","($493,647.43)","($513,548.56)","($533,748.01)","($559,324.33)","($585,231.89)","($611,468.77)","($638,032.77)","($664,921.39)","($692,131.84)","($719,660.96)","($747,505.30)","($775,661.03)","($809,212.45)","($843,037.43)","($877,122.54)","($911,453.42)"," $(946,014.82)"
South Carolina,"($3,363,397.92)",Negative,"$27,449,094.99 ","$3,894.14 ","$3,054.77 ","($8,815.29)","($20,911.13)","($33,235.45)","($45,790.98)","($64,766.12)","($84,054.42)","($103,657.67)","($123,577.63)","($143,815.93)","($170,707.15)","($197,967.80)","($225,595.68)","($253,588.27)","($281,942.71)","($310,655.78)","($339,723.89)","($369,143.09)","($398,908.99)","($435,432.43)","($472,276.83)","($509,427.28)","($546,867.85)"," $(584,581.56)"
