State,0,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Year 11,Year 12,Year 13,Year 14,Year 15,Year 16,Year 17,Year 18,Year 19,Year 20,Year 21,Year 22,Year 23,Year 24,Year 25
Hawaii," $(1,314,457.25)"," $(358,108.66)"," $(363,148.73)"," $(372,308.65)"," $(381,599.20)"," $(391,021.96)"," $(400,578.50)"," $(413,318.51)"," $(426,221.09)"," $(439,287.11)"," $(452,517.39)"," $(447,653.55)"," $(462,641.06)"," $(479,463.12)"," $(496,458.25)"," $(513,624.72)"," $(530,960.61)"," $(548,463.80)"," $(566,132.02)"," $(583,962.74)"," $(601,953.25)"," $(623,145.21)"," $(644,461.34)"," $(665,892.92)"," $(687,430.67)"," $(709,064.75)"
Idaho," $(1,314,457.25)"," $4,527.02 "," $1,912.82 "," $(5,897.08)"," $(13,837.94)"," $(21,911.35)"," $(30,118.87)"," $(42,297.12)"," $(54,653.20)"," $(67,188.06)"," $(79,902.64)"," $(74,691.77)"," $(90,031.82)"," $(107,223.20)"," $(124,618.44)"," $(142,215.87)"," $(160,013.64)"," $(178,009.67)"," $(196,201.70)"," $(214,587.21)"," $(233,163.47)"," $(255,859.73)"," $(278,724.97)"," $(301,750.15)"," $(324,925.61)"," $(348,241.11)"
Illinois," $(1,314,457.25)"," $(231,453.81)"," $(235,685.22)"," $(242,966.43)"," $(250,353.79)"," $(257,848.57)"," $(265,452.06)"," $(275,647.44)"," $(285,975.18)"," $(296,435.99)"," $(307,030.58)"," $(300,404.65)"," $(312,205.61)"," $(325,727.62)"," $(339,391.81)"," $(353,196.87)"," $(367,141.37)"," $(381,223.70)"," $(395,442.13)"," $(409,794.76)"," $(424,279.51)"," $(441,382.44)"," $(458,591.35)"," $(475,899.44)"," $(493,299.53)"," $(510,783.98)"
Indiana," $(1,314,457.25)"," $421,828.70 "," $422,666.26 "," $413,320.16 "," $403,780.81 "," $394,045.89 "," $384,113.03 "," $367,110.82 "," $349,821.46 "," $332,243.33 "," $314,374.89 "," $314,663.45 "," $290,850.18 "," $265,007.82 "," $238,815.66 "," $212,276.14 "," $185,392.00 "," $158,166.37 "," $130,602.70 "," $102,704.82 "," $74,476.95 "," $38,757.47 "," $2,721.32 "," $(33,617.19)"," $(70,242.75)"," $(107,139.05)"
Iowa," $(1,314,457.25)"," $(165,556.60)"," $(169,165.21)"," $(175,980.43)"," $(182,897.12)"," $(189,916.48)"," $(197,039.71)"," $(206,829.65)"," $(216,749.01)"," $(226,798.45)"," $(236,978.63)"," $(230,664.39)"," $(242,195.96)"," $(255,381.31)"," $(268,707.85)"," $(282,174.23)"," $(295,779.00)"," $(309,520.53)"," $(323,397.06)"," $(337,406.64)"," $(351,547.18)"," $(368,400.13)"," $(385,360.30)"," $(402,420.93)"," $(419,574.79)"," $(436,814.26)"
Kansas," $(1,314,457.25)"," $(252,131.04)"," $(256,615.73)"," $(263,897.19)"," $(271,280.67)"," $(278,767.38)"," $(286,358.52)"," $(296,414.63)"," $(306,596.34)"," $(316,904.31)"," $(327,339.13)"," $(319,817.22)"," $(331,250.13)"," $(344,461.11)"," $(357,804.90)"," $(371,280.16)"," $(384,885.37)"," $(398,618.89)"," $(412,478.92)"," $(426,463.50)"," $(440,570.53)"," $(457,150.00)"," $(473,824.16)"," $(490,586.30)"," $(507,429.29)"," $(524,345.58)"
Kentucky," $(1,314,457.25)"," $314,560.06 "," $314,400.86 "," $305,394.17 "," $296,210.04 "," $286,846.31 "," $277,300.83 "," $261,497.41 "," $245,435.22 "," $229,112.81 "," $212,528.80 "," $214,349.40 "," $192,718.55 "," $169,077.13 "," $145,124.13 "," $120,861.77 "," $96,292.57 "," $71,419.36 "," $46,245.28 "," $20,773.81 "," $(4,991.24)"," $(37,362.61)"," $(70,011.80)"," $(102,925.90)"," $(136,091.10)"," $(169,492.70)"
Louisiana," $(1,314,457.25)"," $143,873.96 "," $142,371.94 "," $134,300.58 "," $126,083.10 "," $117,717.75 "," $109,202.75 "," $95,876.24 "," $82,343.91 "," $68,604.63 "," $54,657.30 "," $58,293.38 "," $40,783.87 "," $21,413.07 "," $1,800.12 "," $(18,053.16)"," $(38,144.68)"," $(58,472.14)"," $(79,032.96)"," $(99,824.31)"," $(120,843.11)"," $(146,900.66)"," $(173,167.07)"," $(199,631.97)"," $(226,284.27)"," $(253,112.21)"
Maine," $(1,314,457.25)"," $(300,172.28)"," $(305,454.61)"," $(313,172.91)"," $(321,000.69)"," $(328,939.33)"," $(336,990.25)"," $(347,258.93)"," $(357,657.52)"," $(368,186.88)"," $(378,847.82)"," $(372,119.91)"," $(383,576.49)"," $(396,762.17)"," $(410,083.21)"," $(423,538.55)"," $(437,127.04)"," $(450,847.38)"," $(464,698.13)"," $(478,677.72)"," $(492,784.43)"," $(509,094.39)"," $(525,503.10)"," $(542,004.52)"," $(558,592.23)"," $(575,259.42)"
Maryland," $(1,314,457.25)"," $569,268.72 "," $571,127.57 "," $560,912.24 "," $550,472.55 "," $539,805.69 "," $528,908.86 "," $509,807.18 "," $490,369.25 "," $470,593.05 "," $450,476.60 "," $447,737.62 "," $420,371.60 "," $390,978.99 "," $361,172.83 "," $330,955.62 "," $300,330.25 "," $269,299.99 "," $237,868.51 "," $206,039.92 "," $173,818.75 "," $132,866.83 "," $91,531.94 "," $49,830.08 "," $7,778.39 "," $(34,604.84)"
Massachusetts," $(1,314,457.25)"," $(49,183.41)"," $(52,202.76)"," $(61,675.89)"," $(71,313.28)"," $(81,117.01)"," $(91,089.16)"," $(105,734.59)"," $(120,601.36)"," $(135,690.87)"," $(151,004.44)"," $(148,750.87)"," $(167,491.35)"," $(188,104.98)"," $(208,972.77)"," $(230,092.98)"," $(251,463.65)"," $(273,082.59)"," $(294,947.34)"," $(317,055.18)"," $(339,403.12)"," $(366,609.02)"," $(394,029.92)"," $(421,655.30)"," $(449,473.92)"," $(477,473.85)"
Michigan," $(1,314,457.25)"," $(494,371.21)"," $(501,011.76)"," $(508,425.53)"," $(515,926.62)"," $(523,516.10)"," $(531,195.04)"," $(540,079.64)"," $(549,055.50)"," $(558,123.12)"," $(567,283.03)"," $(558,159.85)"," $(566,935.83)"," $(577,465.78)"," $(588,078.26)"," $(598,772.28)"," $(609,546.77)"," $(620,400.56)"," $(631,332.39)"," $(642,340.90)"," $(653,424.62)"," $(665,594.38)"," $(677,805.25)"," $(690,052.53)"," $(702,331.27)"," $(714,636.22)"
Minnesota," $(1,314,457.25)"," $(317,235.42)"," $(322,415.30)"," $(329,675.29)"," $(337,034.72)"," $(344,494.83)"," $(352,056.85)"," $(361,603.82)"," $(371,267.48)"," $(381,048.53)"," $(390,947.65)"," $(383,698.02)"," $(394,161.03)"," $(406,314.40)"," $(418,587.40)"," $(430,978.96)"," $(443,487.89)"," $(456,112.90)"," $(468,852.53)"," $(481,705.24)"," $(494,669.31)"," $(509,589.57)"," $(524,592.97)"," $(539,673.79)"," $(554,825.97)"," $(570,043.09)"
Mississippi," $(1,314,457.25)"," $(197,325.34)"," $(201,563.31)"," $(209,142.11)"," $(216,831.75)"," $(224,633.53)"," $(232,548.76)"," $(243,297.27)"," $(254,185.57)"," $(265,214.41)"," $(276,384.47)"," $(269,028.90)"," $(281,542.55)"," $(295,905.68)"," $(310,419.93)"," $(325,083.87)"," $(339,895.89)"," $(354,854.22)"," $(369,956.93)"," $(385,201.91)"," $(400,586.88)"," $(418,842.33)"," $(437,210.66)"," $(455,684.52)"," $(474,256.12)"," $(492,917.16)"
