State ,NPV (After-Tax),IRR,TCO,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Year 11,Year 12,Year 13,Year 14,Year 15,Year 16,Year 17,Year 18,Year 19,Year 20,Year 21,Year 22,Year 23,Year 24,Year 25
Pennsylvania,"($2,057,328.09)",Negative,"$27,804,306.74 ",272467.5479,272282.096,257985.5559,243450.3822,228673.7258,213652.7229,190378.1857,166770.4107,142827.6642,118548.3004,93930.76465,60813.14777,27305.68121,-6588.62241,-40866.37508,-75523.79831,-110556.7076,-145960.4965,-181730.1202,-217860.079,-262564.2131,-307589.0841,-352916.8197,-398528.3917,-444403.574
Rhode Island,"($5,204,014.29)",Negative,"$33,369,440.68 ",-220487.1026,-224685.0186,-239814.4623,-255165.3828,-270740.5078,-286542.5853,-308543.0295,-330827.0136,-353396.1285,-376251.8999,-399395.7847,-428880.2919,-458676.8404,-488782.8879,-519195.5905,-549911.7907,-580928.0048,-612240.41,-643844.8314,-675736.7286,-713922.0213,-752340.9501,-790978.5721,-829819.0069,-868845.4014
South Carolina,"($2,519,365.09)",Negative,"$27,449,094.99 ",161371.2787,160232.8492,146355.8395,132256.9541,117933.5502,103382.971,81424.06999,59161.47558,36593.62413,13719.03106,-9463.705285,-40263.11088,-71412.75221,-102909.803,-134751.0959,-166933.1085,-199451.9495,-232303.3444,-265482.6202,-298984.6908,-340142.004,-381580.3538,-423283.3214,-465233.4381,-507412.1466
South Dakota,"$12,777,913.92 ",116%,"$27,580,128.38 ",2546604.638,2564256.13,2542935.159,2521061.89,2498629.455,2475630.956,2428921.238,2381327.181,2332843.559,2283465.377,2233187.883,2158239.989,2082159.873,2004953.251,1926626.818,1847188.294,1766646.459,1685011.197,1602293.544,1518505.728,1409279.799,1298972.328,1187626.305,1075287.755,962005.8543
Tennessee,"($1,134,507.23)",Negative,"$26,670,051.03 ",427964.957,428860.2534,414413.583,399713.5632,384757.1488,369541.2795,345285.2405,320668.7245,295689.807,270346.658,244637.5457,209603.2696,174141.2374,138254.5374,101946.6609,65221.51956,28083.46153,-9462.711124,-47411.72485,-85757.81649,-133545.242,-181694.4986,-230186.6172,-279001.3847,-328117.2984
Texas,"$2,486,465.06 ",35%,"$27,013,153.30 ",998405.939,1003964.718,987760.6157,971225.0514,954354.0034,937143.4337,906912.5968,876182.3921,844950.0658,813212.9963,780968.7009,735236.6353,688889.33,641930.6618,594365.0685,546197.5722,497433.803,448080.0226,398143.1492,347630.7832,283339.026,218494.7263,153123.4663,87252.56055,20911.1192
Utah,"($2,919,692.26)",Negative,"$26,407,678.72 ",65599.88261,63525.87217,50207.48765,36685.61182,22957.82216,9021.682053,-11415.53084,-32124.60802,-53106.94556,-74363.86995,-95896.63468,-124099.1211,-152609.7894,-181426.0576,-210545.0408,-239963.5392,-269678.0256,-299684.6324,-329979.1389,-360556.9574,-397809.0067,-435301.3462,-473019.2331,-510946.9926,-549067.9833
Vermont,"($3,346,208.23)",Negative,"$31,059,952.06 ",83835.24228,81661.70536,66195.15359,50477.17259,34504.62296,18274.34331,-5668.6027,-29949.31299,-54569.78413,-79531.93544,-104837.6051,-138072.57,-171694.6239,-205701.1263,-240089.0819,-274855.1257,-309995.5086,-345506.082,-381382.2819,-417619.1132,-461820.1842,-506336.7356,-551151.7801,-596247.2239,-641603.8261
Virginia,"($3,118,875.07)",Negative,"$27,025,262.79 ",26949.96128,24659.39737,11288.40401,-2284.220983,-16060.8706,-30043.95174,-50414.13447,-71052.31467,-91959.85067,-113138.0318,-134588.075,-162587.4024,-190889.0986,-219490.5621,-248388.8917,-277580.874,-307062.9719,-336831.3111,-366881.6676,-397209.4545,-434082.1486,-471187.8964,-508512.0347,-546038.978,-583752.1843
Washington,"$6,120,260.77 ",65%,"$28,644,324.13 ",1596964.229,1606310.131,1586779.602,1566801.149,1546369.087,1525477.701,1487139.197,1448115.917,1408403.61,1367998.185,1326895.731,1267676.231,1207600.133,1146671.619,1084895.602,1022277.758,958824.5523,894543.2737,829442.0682,763529.9714,679014.9998,593698.5289,507612.9561,420792.9552,333275.5598
West Virginia,"($3,124,910.88)",Negative,"$27,527,410.09 ",56175.0571,53786.98097,39835.55642,25667.15831,11279.13722,-3331.173688,-24631.8276,-46220.84156,-68099.81744,-90270.28809,-112733.7139,-142063.2291,-171719.7074,-201700.662,-232003.2959,-262624.4897,-293560.7887,-324808.3891,-356363.1255,-388220.456,-426952.0697,-465942.6699,-505177.2464,-544639.8278,-584313.4472
Wisconsin,"($3,607,057.52)",Negative,"$28,094,934.54 ",-18034.00468,-20522.17652,-34048.40243,-47775.97514,-61707.27326,-75844.68918,-96321.80757,-117065.4583,-138076.9658,-159357.5851,-180908.4986,-208957.0015,-237304.8797,-265949.4693,-294887.8057,-324116.6116,-353632.2849,-383430.8859,-413508.1242,-443859.3456,-480695.0804,-517758.5591,-555035.0096,-592508.7357,-630163.0833
Wyoming,"($824,298.22)",Negative,"$25,558,551.30 ",377498.9702,378390.221,364893.4779,351168.3293,337212.1285,323022.2184,300381.1681,277413.958,254119.03,230494.9185,206540.2541,173875.2083,140824.3077,107390.7416,73578.08146,39390.29568,4831.765557,-30092.69871,-65377.84153,-101017.945,-145462.1771,-190225.1681,-235288.7776,-280633.6973,-326239.4087
