State,0,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Year 11,Year 12,Year 13,Year 14,Year 15,Year 16,Year 17,Year 18,Year 19,Year 20,Year 21,Year 22,Year 23,Year 24,Year 25
Georgia," $(1,314,457.25)"," $(1,774,019.90)"," $(2,239,694.22)"," $(2,711,615.22)"," $(3,189,844.78)"," $(3,674,445.40)"," $(4,165,480.26)"," $(4,663,784.14)"," $(5,169,416.63)"," $(5,682,437.50)"," $(6,202,906.63)"," $(6,712,435.23)"," $(7,228,602.84)"," $(7,753,133.77)"," $(8,286,074.09)"," $(8,827,468.75)"," $(9,377,361.52)"," $(9,935,794.89)"," $(10,502,810.02)"," $(11,078,446.62)"," $(11,662,742.90)"," $(12,256,390.70)"," $(12,859,395.21)"," $(13,471,757.53)"," $(14,093,474.43)"," $(14,724,538.18)"
Hawaii," $(1,314,457.25)"," $(1,672,565.91)"," $(2,035,714.64)"," $(2,408,023.29)"," $(2,789,622.50)"," $(3,180,644.46)"," $(3,581,222.96)"," $(3,994,541.47)"," $(4,420,762.56)"," $(4,860,049.66)"," $(5,312,567.06)"," $(5,760,220.61)"," $(6,222,861.67)"," $(6,702,324.79)"," $(7,198,783.05)"," $(7,712,407.77)"," $(8,243,368.37)"," $(8,791,832.18)"," $(9,357,964.19)"," $(9,941,926.93)"," $(10,543,880.19)"," $(11,167,025.39)"," $(11,811,486.74)"," $(12,477,379.65)"," $(13,164,810.32)"," $(13,873,875.07)"
Idaho," $(1,314,457.25)"," $(1,309,930.24)"," $(1,308,017.42)"," $(1,313,914.50)"," $(1,327,752.44)"," $(1,349,663.79)"," $(1,379,782.66)"," $(1,422,079.78)"," $(1,476,732.97)"," $(1,543,921.03)"," $(1,623,823.67)"," $(1,698,515.44)"," $(1,788,547.26)"," $(1,895,770.46)"," $(2,020,388.90)"," $(2,162,604.77)"," $(2,322,618.41)"," $(2,500,628.08)"," $(2,696,829.78)"," $(2,911,417.00)"," $(3,144,580.47)"," $(3,400,440.20)"," $(3,679,165.17)"," $(3,980,915.31)"," $(4,305,840.93)"," $(4,654,082.04)"
Illinois," $(1,314,457.25)"," $(1,545,911.06)"," $(1,781,596.28)"," $(2,024,562.71)"," $(2,274,916.50)"," $(2,532,765.07)"," $(2,798,217.13)"," $(3,073,864.57)"," $(3,359,839.75)"," $(3,656,275.74)"," $(3,963,306.32)"," $(4,263,710.97)"," $(4,575,916.58)"," $(4,901,644.20)"," $(5,241,036.01)"," $(5,594,232.89)"," $(5,961,374.26)"," $(6,342,597.96)"," $(6,738,040.09)"," $(7,147,834.85)"," $(7,572,114.36)"," $(8,013,496.80)"," $(8,472,088.15)"," $(8,947,987.59)"," $(9,441,287.12)"," $(9,952,071.10)"
Indiana," $(1,314,457.25)"," $(892,628.56)"," $(469,962.30)"," $(56,642.14)"," $347,138.68 "," $741,184.56 "," $1,125,297.59 "," $1,492,408.41 "," $1,842,229.87 "," $2,174,473.20 "," $2,488,848.09 "," $2,803,511.54 "," $3,094,361.72 "," $3,359,369.54 "," $3,598,185.20 "," $3,810,461.34 "," $3,995,853.34 "," $4,154,019.71 "," $4,284,622.41 "," $4,387,327.23 "," $4,461,804.18 "," $4,500,561.65 "," $4,503,282.97 "," $4,469,665.78 "," $4,399,423.02 "," $4,292,283.97 "
Iowa," $(1,314,457.25)"," $(1,480,013.85)"," $(1,649,179.06)"," $(1,825,159.49)"," $(2,008,056.62)"," $(2,197,973.09)"," $(2,395,012.80)"," $(2,601,842.45)"," $(2,818,591.46)"," $(3,045,389.91)"," $(3,282,368.55)"," $(3,513,032.94)"," $(3,755,228.90)"," $(4,010,610.21)"," $(4,279,318.05)"," $(4,561,492.29)"," $(4,857,271.29)"," $(5,166,791.82)"," $(5,490,188.88)"," $(5,827,595.53)"," $(6,179,142.71)"," $(6,547,542.84)"," $(6,932,903.14)"," $(7,335,324.07)"," $(7,754,898.86)"," $(8,191,713.12)"
Kansas," $(1,314,457.25)"," $(1,566,588.29)"," $(1,823,204.02)"," $(2,087,101.21)"," $(2,358,381.88)"," $(2,637,149.26)"," $(2,923,507.78)"," $(3,219,922.41)"," $(3,526,518.75)"," $(3,843,423.05)"," $(4,170,762.18)"," $(4,490,579.41)"," $(4,821,829.54)"," $(5,166,290.64)"," $(5,524,095.55)"," $(5,895,375.70)"," $(6,280,261.07)"," $(6,678,879.96)"," $(7,091,358.87)"," $(7,517,822.38)"," $(7,958,392.91)"," $(8,415,542.91)"," $(8,889,367.07)"," $(9,379,953.37)"," $(9,887,382.66)"," $(10,411,728.24)"
Kentucky," $(1,314,457.25)"," $(999,897.19)"," $(685,496.33)"," $(380,102.16)"," $(83,892.13)"," $202,954.18 "," $480,255.01 "," $741,752.42 "," $987,187.64 "," $1,216,300.45 "," $1,428,829.25 "," $1,643,178.65 "," $1,835,897.20 "," $2,004,974.34 "," $2,150,098.47 "," $2,270,960.24 "," $2,367,252.81 "," $2,438,672.17 "," $2,484,917.45 "," $2,505,691.26 "," $2,500,700.02 "," $2,463,337.41 "," $2,393,325.61 "," $2,290,399.71 "," $2,154,308.60 "," $1,984,815.90 "
Louisiana," $(1,314,457.25)"," $(1,170,583.29)"," $(1,028,211.35)"," $(893,910.77)"," $(767,827.67)"," $(650,109.92)"," $(540,907.17)"," $(445,030.93)"," $(362,687.02)"," $(294,082.39)"," $(239,425.09)"," $(181,131.71)"," $(140,347.84)"," $(118,934.77)"," $(117,134.65)"," $(135,187.81)"," $(173,332.49)"," $(231,804.63)"," $(310,837.59)"," $(410,661.90)"," $(531,505.01)"," $(678,405.67)"," $(851,572.74)"," $(1,051,204.70)"," $(1,277,488.98)"," $(1,530,601.19)"
Maine," $(1,314,457.25)"," $(1,614,629.53)"," $(1,920,084.14)"," $(2,233,257.05)"," $(2,554,257.74)"," $(2,883,197.07)"," $(3,220,187.32)"," $(3,567,446.25)"," $(3,925,103.77)"," $(4,293,290.65)"," $(4,672,138.47)"," $(5,044,258.39)"," $(5,427,834.88)"," $(5,824,597.05)"," $(6,234,680.26)"," $(6,658,218.81)"," $(7,095,345.85)"," $(7,546,193.22)"," $(8,010,891.35)"," $(8,489,569.06)"," $(8,982,353.49)"," $(9,491,447.88)"," $(10,016,950.99)"," $(10,558,955.51)"," $(11,117,547.74)"," $(11,692,807.15)"
