,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Year 11,Year 12,Year 13,Year 14,Year 15,Year 16,Year 17,Year 18,Year 19,Year 20,Year 21,Year 22,Year 23,Year 24,Year 25
Maine,2.316234909,2.351204597,2.399821883,2.44959692,2.500560975,2.552746268,2.629193002,2.708658935,2.791298853,2.877277531,2.966770522,3.08396001,3.207763966,3.338689873,3.477295139,3.624193127,3.78006004,3.945642829,4.121768268,4.309353439,4.554044462,4.820128372,5.110220693,5.427352167,5.775050547
Maryland,2.341075519,2.37603819,2.424776469,2.474665849,2.525737194,2.578022309,2.654754819,2.734505681,2.817429338,2.903690195,2.993463396,3.111124409,3.235409946,3.366827759,3.505935526,3.653346882,3.8097383,3.975857,4.152530021,4.340674696,4.586224231,4.853210741,5.144253652,5.462388085,5.811146735
Massachusetts,2.855706696,2.898602363,2.958305968,3.019417832,3.081975635,3.1460182,3.239218978,3.336057341,3.43671808,3.541397831,3.650305992,3.792715254,3.943067749,4.101967375,4.270076997,4.448125517,4.636915951,4.83733468,5.050362088,5.277084805,5.572413972,5.893249474,6.242680125,6.624281143,7.042209288
Michigan,2.393902553,2.429347288,2.478863257,2.529540481,2.581409902,2.6345034,2.712492554,2.793537436,2.877794062,2.965428503,3.056617664,3.176202987,3.302502533,3.436030194,3.577350351,3.72708396,3.885915514,4.054601019,4.233977173,4.424971943,4.674315484,4.945383918,5.240828869,5.563722419,5.917639867
Minnesota,2.29374691,2.327871784,2.375488297,2.424226971,2.47411784,2.525191852,2.600268524,2.678298068,2.759431635,2.84383013,2.931664976,3.046849297,3.168521992,3.297180752,3.433372251,3.57769805,3.73082137,3.893474839,4.066469412,4.250704657,4.491247513,4.75281082,5.037965627,5.349691365,5.691456348
Mississippi,2.109249405,2.139854431,2.182832175,2.226806848,2.271804776,2.317853076,2.386143378,2.457111282,2.530893928,2.607637322,2.687497037,2.792555819,2.903537321,3.020897185,3.145136041,3.276804957,3.41651167,3.56492774,3.722796778,3.890943933,4.110963999,4.350281607,4.611267016,4.896668441,5.209686821
Missouri,2.080320012,2.111051899,2.154013011,2.197984599,2.242993679,2.289068085,2.357180542,2.427980943,2.501607376,2.578206868,2.657936093,2.762665819,2.873322865,2.990363894,3.114290684,3.245655598,3.385067834,3.533200601,3.690799376,3.858691423,4.078181721,4.316964581,4.577411433,4.86227199,5.1747491
Montana,2.135872834,2.1673411,2.211360275,2.25641182,2.302523262,2.349722963,2.419456484,2.491935339,2.567300333,2.645701381,2.727298221,2.834476999,2.947708959,3.067459797,3.194241168,3.328616248,3.471206098,3.622696969,3.783848692,3.955504371,4.179893124,4.423966849,4.690141873,4.981219539,5.300462314
Nebraska,2.113767423,2.145123621,2.188911244,2.233731371,2.279611665,2.326580628,2.395905364,2.46796686,2.542905679,2.620871483,2.702023744,2.808563535,2.921131296,3.040191158,3.166253078,3.299878384,3.441686125,3.592360356,3.752658508,3.923421056,4.146577266,4.389332993,4.654095402,4.943655358,5.261263289
Nevada,2.145432013,2.176542267,2.220235963,2.264942099,2.310687384,2.357499326,2.426878895,2.498975465,2.573928062,2.651884701,2.733003086,2.839704469,2.952414068,3.071593696,3.197750732,3.331443633,3.473288248,3.623965053,3.784227478,3.954911508,4.178223455,4.421098532,4.685937473,4.975523546,5.293098171
New Hampshire,2.521064622,2.557419934,2.608546332,2.660846216,2.714350246,2.769089993,2.849777886,2.93359178,3.020690326,3.111242366,3.205427727,3.329181903,3.45983188,3.597903534,3.743974298,3.898679364,4.062718779,4.23686558,4.421975139,4.618995944,4.876482808,5.156290028,5.461134718,5.794164035,6.159039695
New Jersey,2.399195568,2.434478296,2.483851976,2.534377649,2.586085869,2.639008112,2.716848582,2.797731946,2.881813405,2.969258156,3.06024217,3.179630331,3.305712796,3.439001713,3.580059544,3.729505122,3.888020595,4.056359373,4.235355272,4.425933054,4.674823832,4.945386192,5.240264865,5.562523941,5.915729405
New Mexico,2.172466264,2.204052303,2.248383855,2.293744244,2.340160646,2.387661053,2.457982827,2.531058786,2.607029824,2.686045941,2.768266952,2.876377895,2.990574444,3.111324126,3.239140572,3.374589097,3.518293081,3.670941287,3.83329628,4.006204141,4.232364954,4.478325735,4.746514719,5.039746828,5.361300081
New York,2.552999479,2.591314493,2.644657848,2.699262384,2.755161932,2.812391353,2.896017162,2.982923066,3.073276402,3.167255269,3.26504937,3.393060293,3.528250542,3.671168419,3.822415973,3.982655466,4.152616764,4.333105806,4.525014345,4.729331168,4.995718665,5.285252313,5.600748946,5.945470854,6.323213247
