State,0,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Year 11,Year 12,Year 13,Year 14,Year 15,Year 16,Year 17,Year 18,Year 19,Year 20,Year 21,Year 22,Year 23,Year 24,Year 25
Georgia," $(1,314,457.25)"," $(1,867,325.10)"," $(2,426,127.43)"," $(2,989,987.33)"," $(3,558,968.98)"," $(4,133,137.24)"," $(4,712,557.66)"," $(5,297,479.22)"," $(5,887,967.13)"," $(6,484,086.89)"," $(7,085,904.29)"," $(7,675,036.58)"," $(8,268,492.29)"," $(8,868,007.09)"," $(9,473,638.78)"," $(10,085,444.47)"," $(10,703,480.43)"," $(11,327,802.08)"," $(11,958,463.89)"," $(12,595,519.31)"," $(13,239,020.73)"," $(13,889,128.11)"," $(14,545,870.29)"," $(15,209,272.91)"," $(15,879,358.20)"," $(16,556,144.83)"
Hawaii," $(1,314,457.25)"," $(1,764,847.51)"," $(2,220,102.60)"," $(2,683,341.53)"," $(3,154,697.23)"," $(3,634,304.23)"," $(4,122,298.66)"," $(4,621,284.62)"," $(5,131,430.22)"," $(5,652,904.59)"," $(6,185,877.83)"," $(6,712,261.78)"," $(7,251,343.05)"," $(7,804,967.43)"," $(8,373,319.61)"," $(8,956,582.92)"," $(9,554,939.15)"," $(10,168,568.40)"," $(10,797,648.86)"," $(11,442,356.63)"," $(12,102,865.52)"," $(12,781,850.92)"," $(13,479,460.40)"," $(14,195,833.68)"," $(14,931,102.12)"," $(15,685,388.15)"
Idaho," $(1,314,457.25)"," $(1,398,235.54)"," $(1,484,460.33)"," $(1,577,369.62)"," $(1,677,096.57)"," $(1,783,775.93)"," $(1,897,544.09)"," $(2,021,817.36)"," $(2,156,778.87)"," $(2,302,612.84)"," $(2,459,504.58)"," $(2,609,534.36)"," $(2,772,712.68)"," $(2,950,901.62)"," $(3,144,316.17)"," $(3,353,169.98)"," $(3,577,675.26)"," $(3,818,042.48)"," $(4,074,480.25)"," $(4,347,195.08)"," $(4,636,391.10)"," $(4,945,684.93)"," $(5,275,267.95)"," $(5,625,323.33)"," $(5,996,025.44)"," $(6,387,539.30)"
Illinois," $(1,314,457.25)"," $(1,629,767.64)"," $(1,949,150.18)"," $(2,274,745.24)"," $(2,606,661.04)"," $(2,945,007.10)"," $(3,289,894.28)"," $(3,643,388.00)"," $(4,005,625.64)"," $(4,376,745.45)"," $(4,756,886.50)"," $(5,128,833.71)"," $(5,510,500.76)"," $(5,903,618.95)"," $(6,308,341.00)"," $(6,724,818.67)"," $(7,153,202.65)"," $(7,593,642.39)"," $(8,046,285.97)"," $(8,511,279.93)"," $(8,988,769.12)"," $(9,480,893.72)"," $(9,987,780.94)"," $(10,509,552.04)"," $(11,046,321.90)"," $(11,598,198.60)"
Indiana," $(1,314,457.25)"," $(981,209.45)"," $(646,955.85)"," $(320,919.46)"," $(3,295.69)"," $305,717.63 "," $605,920.32 "," $890,799.15 "," $1,160,061.67 "," $1,413,413.65 "," $1,650,559.17 "," $1,889,649.49 "," $2,107,124.90 "," $2,300,945.51 "," $2,470,750.36 "," $2,616,180.59 "," $2,736,879.69 "," $2,832,493.90 "," $2,902,672.54 "," $2,947,068.34 "," $2,965,337.88 "," $2,950,494.49 "," $2,902,199.03 "," $2,820,125.86 "," $2,703,963.75 "," $2,553,416.90 "
Iowa," $(1,314,457.25)"," $(1,560,327.20)"," $(1,809,653.22)"," $(2,064,770.93)"," $(2,325,783.78)"," $(2,592,796.44)"," $(2,865,914.86)"," $(3,147,301.51)"," $(3,437,090.63)"," $(3,735,417.24)"," $(4,042,417.17)"," $(4,341,601.20)"," $(4,650,323.61)"," $(4,970,248.00)"," $(5,301,525.64)"," $(5,644,306.83)"," $(5,998,740.73)"," $(6,364,975.22)"," $(6,743,156.76)"," $(7,133,430.25)"," $(7,535,938.82)"," $(7,952,937.07)"," $(8,384,552.57)"," $(8,830,906.92)"," $(9,292,115.27)"," $(9,768,285.93)"
Kansas," $(1,314,457.25)"," $(1,653,988.10)"," $(1,997,837.67)"," $(2,347,854.83)"," $(2,704,143.79)"," $(3,066,809.96)"," $(3,435,960.03)"," $(3,813,510.21)"," $(4,199,591.37)"," $(4,594,335.14)"," $(4,997,873.92)"," $(5,392,256.62)"," $(5,795,903.20)"," $(6,210,602.36)"," $(6,636,497.92)"," $(7,073,732.71)"," $(7,522,448.41)"," $(7,982,785.42)"," $(8,454,882.75)"," $(8,938,877.81)"," $(9,434,906.33)"," $(9,944,942.51)"," $(10,469,103.22)"," $(11,007,499.42)"," $(11,560,235.81)"," $(12,127,410.42)"
Kentucky," $(1,314,457.25)"," $(1,091,233.93)"," $(867,996.36)"," $(652,601.44)"," $(445,228.90)"," $(246,060.61)"," $(55,280.67)"," $121,426.43 "," $283,796.43 "," $431,563.49 "," $564,460.23 "," $700,885.34 "," $817,946.35 "," $913,621.56 "," $987,587.88 "," $1,039,524.09 "," $1,069,111.09 "," $1,076,032.23 "," $1,059,973.58 "," $1,020,624.32 "," $957,676.99 "," $865,045.94 "," $742,430.17 "," $589,540.77 "," $406,101.71 "," $191,850.75 "
Louisiana," $(1,314,457.25)"," $(1,259,636.61)"," $(1,206,148.88)"," $(1,159,597.57)"," $(1,120,131.02)"," $(1,087,899.34)"," $(1,063,054.46)"," $(1,049,848.77)"," $(1,048,493.45)"," $(1,059,200.93)"," $(1,082,184.89)"," $(1,099,867.69)"," $(1,132,849.92)"," $(1,183,003.73)"," $(1,250,582.48)"," $(1,335,838.06)"," $(1,439,020.67)"," $(1,560,378.58)"," $(1,700,157.86)"," $(1,858,602.17)"," $(2,035,952.46)"," $(2,236,739.86)"," $(2,461,195.79)"," $(2,709,542.17)"," $(2,981,990.70)"," $(3,278,742.22)"
Maine," $(1,314,457.25)"," $(1,701,352.19)"," $(2,093,364.77)"," $(2,491,990.42)"," $(2,897,340.77)"," $(3,309,528.87)"," $(3,728,669.22)"," $(4,156,435.08)"," $(4,592,961.59)"," $(5,038,384.86)"," $(5,492,841.96)"," $(5,938,949.64)"," $(6,394,361.66)"," $(6,860,817.70)"," $(7,338,464.02)"," $(7,827,446.20)"," $(8,327,909.03)"," $(8,839,996.36)"," $(9,363,850.98)"," $(9,899,614.52)"," $(10,447,427.25)"," $(11,008,998.08)"," $(11,584,447.74)"," $(12,173,891.74)"," $(12,777,440.04)"," $(13,395,196.66)"
Maryland," $(1,314,457.25)"," $(831,407.27)"," $(346,334.70)"," $129,621.35 "," $596,234.38 "," $1,053,275.04 "," $1,500,511.16 "," $1,930,279.21 "," $2,342,237.76 "," $2,736,043.23 "," $3,111,349.91 "," $3,485,529.69 "," $3,834,483.17 "," $4,156,173.28 "," $4,450,175.59 "," $4,716,067.86 "," $4,953,430.35 "," $5,161,846.24 "," $5,340,901.99 "," $5,490,187.81 "," $5,609,298.00 "," $5,689,993.33 "," $5,731,868.94 "," $5,734,535.20 "," $5,697,618.74 "," $5,620,763.65 "
Massachusetts," $(1,314,457.25)"," $(1,449,859.40)"," $(1,588,117.16)"," $(1,734,749.25)"," $(1,889,922.05)"," $(2,053,804.09)"," $(2,226,565.98)"," $(2,412,339.70)"," $(2,611,351.76)"," $(2,823,830.21)"," $(3,050,004.57)"," $(3,272,313.29)"," $(3,511,222.75)"," $(3,768,616.62)"," $(4,044,759.91)"," $(4,339,916.24)"," $(4,654,347.66)"," $(4,988,314.35)"," $(5,342,074.44)"," $(5,715,883.73)"," $(6,109,995.40)"," $(6,528,775.93)"," $(6,972,462.18)"," $(7,441,281.29)"," $(7,935,450.06)"," $(8,455,174.17)"
Michigan," $(1,314,457.25)"," $(1,898,590.43)"," $(2,489,193.70)"," $(3,086,066.77)"," $(3,689,299.20)"," $(4,298,981.63)"," $(4,915,205.83)"," $(5,538,613.88)"," $(6,169,302.43)"," $(6,807,368.79)"," $(7,452,910.92)"," $(8,087,651.53)"," $(8,728,940.47)"," $(9,378,542.63)"," $(10,036,551.84)"," $(10,703,061.31)"," $(11,378,163.55)"," $(12,061,950.30)"," $(12,754,512.41)"," $(13,455,939.77)"," $(14,166,321.25)"," $(14,886,231.17)"," $(15,615,733.41)"," $(16,354,888.01)"," $(17,103,750.90)"," $(17,862,373.69)"
Minnesota," $(1,314,457.25)"," $(1,714,092.58)"," $(2,118,751.31)"," $(2,529,619.89)"," $(2,946,799.81)"," $(3,370,393.82)"," $(3,800,505.95)"," $(4,238,603.79)"," $(4,684,808.98)"," $(5,139,244.00)"," $(5,602,032.12)"," $(6,056,029.94)"," $(6,518,445.82)"," $(6,990,980.15)"," $(7,473,762.94)"," $(7,966,923.45)"," $(8,470,590.11)"," $(8,984,890.41)"," $(9,509,950.75)"," $(10,045,896.33)"," $(10,592,851.02)"," $(11,152,301.31)"," $(11,724,351.21)"," $(12,309,099.83)"," $(12,906,641.01)"," $(13,517,063.00)"
Mississippi," $(1,314,457.25)"," $(1,601,544.56)"," $(1,892,699.38)"," $(2,190,289.03)"," $(2,494,426.59)"," $(2,805,226.45)"," $(3,122,804.36)"," $(3,449,430.04)"," $(3,785,248.66)"," $(4,130,406.31)"," $(4,485,049.88)"," $(4,830,659.54)"," $(5,186,555.19)"," $(5,554,597.24)"," $(5,934,948.13)"," $(6,327,769.19)"," $(6,733,220.55)"," $(7,151,460.95)"," $(7,582,647.60)"," $(8,026,935.97)"," $(8,484,479.71)"," $(8,957,637.58)"," $(9,446,545.24)"," $(9,951,331.82)"," $(10,472,119.56)"," $(11,009,023.29)"
Missouri," $(1,314,457.25)"," $(1,644,572.45)"," $(1,979,328.76)"," $(2,320,593.81)"," $(2,668,479.96)"," $(3,023,100.95)"," $(3,384,571.92)"," $(3,754,861.07)"," $(4,134,108.66)"," $(4,522,455.87)"," $(4,920,044.75)"," $(5,308,350.70)"," $(5,706,378.70)"," $(6,115,981.12)"," $(6,537,312.54)"," $(6,970,526.61)"," $(7,415,776.01)"," $(7,873,212.22)"," $(8,342,985.47)"," $(8,825,244.49)"," $(9,320,136.43)"," $(9,829,693.31)"," $(10,354,043.75)"," $(10,893,310.53)"," $(11,447,610.20)"," $(12,017,052.64)"
Montana," $(1,314,457.25)"," $(1,714,921.78)"," $(2,120,509.36)"," $(2,532,311.49)"," $(2,950,429.00)"," $(3,374,963.99)"," $(3,806,019.76)"," $(4,245,060.57)"," $(4,692,207.35)"," $(5,147,581.81)"," $(5,611,306.42)"," $(6,065,201.47)"," $(6,527,413.21)"," $(6,999,735.23)"," $(7,482,296.53)"," $(7,975,225.33)"," $(8,478,648.93)"," $(8,992,693.61)"," $(9,517,484.54)"," $(10,053,145.60)"," $(10,599,799.28)"," $(11,158,927.75)"," $(11,730,633.35)"," $(12,315,013.39)"," $(12,912,159.85)"," $(13,522,158.97)"
Nebraska," $(1,314,457.25)"," $(1,645,924.65)"," $(1,981,902.66)"," $(2,324,202.98)"," $(2,672,934.93)"," $(3,028,209.18)"," $(3,390,137.75)"," $(3,760,616.83)"," $(4,139,782.62)"," $(4,527,772.25)"," $(4,924,723.72)"," $(5,312,927.98)"," $(5,710,570.32)"," $(6,119,424.04)"," $(6,539,639.22)"," $(6,971,365.09)"," $(7,414,749.93)"," $(7,869,940.92)"," $(8,337,084.03)"," $(8,816,323.85)"," $(9,307,803.44)"," $(9,813,480.09)"," $(10,333,478.98)"," $(10,867,919.67)"," $(11,416,915.76)"," $(11,980,574.42)"
Nevada," $(1,314,457.25)"," $(66,392.85)"," $1,189,889.02 "," $2,434,635.57 "," $3,667,515.83 "," $4,888,194.73 "," $6,096,333.14 "," $7,278,808.11 "," $8,435,090.67 "," $9,564,648.69 "," $10,666,946.98 "," $11,761,573.39 "," $12,816,531.80 "," $13,829,313.04 "," $14,799,240.68 "," $15,725,641.92 "," $16,607,848.23 "," $17,445,195.94 "," $18,237,026.90 "," $18,982,689.17 "," $19,681,537.68 "," $20,319,387.51 "," $20,895,578.89 "," $21,409,476.63 "," $21,860,471.93 "," $22,247,984.23 "
New Hampshire," $(1,314,457.25)"," $(1,539,853.62)"," $(1,768,260.84)"," $(2,003,604.63)"," $(2,246,013.87)"," $(2,495,619.01)"," $(2,752,552.00)"," $(3,019,974.24)"," $(3,298,059.61)"," $(3,586,982.99)"," $(3,886,920.23)"," $(4,180,168.06)"," $(4,486,259.97)"," $(4,807,022.96)"," $(5,142,657.33)"," $(5,493,361.96)"," $(5,859,334.14)"," $(6,240,769.37)"," $(6,637,861.15)"," $(7,050,800.77)"," $(7,479,777.10)"," $(7,928,108.96)"," $(8,395,967.76)"," $(8,883,516.70)"," $(9,390,910.21)"," $(9,918,293.38)"
New Jersey," $(1,314,457.25)"," $(1,726,268.40)"," $(2,142,956.13)"," $(2,566,290.52)"," $(2,996,382.00)"," $(3,433,342.34)"," $(3,877,284.65)"," $(4,330,065.37)"," $(4,791,820.48)"," $(5,262,686.83)"," $(5,742,802.12)"," $(6,214,074.82)"," $(6,694,992.50)"," $(7,187,360.93)"," $(7,691,327.76)"," $(8,207,039.71)"," $(8,734,642.41)"," $(9,274,280.31)"," $(9,826,096.45)"," $(10,390,232.42)"," $(10,966,828.11)"," $(11,557,782.72)"," $(12,163,215.18)"," $(12,783,238.57)"," $(13,417,959.70)"," $(14,067,478.69)"
New Mexico," $(1,314,457.25)"," $167,142.59 "," $1,659,004.93 "," $3,139,237.64 "," $4,607,490.48 "," $6,063,408.89 "," $7,506,633.96 "," $8,922,789.58 "," $10,311,308.11 "," $11,671,618.49 "," $13,003,146.38 "," $14,323,719.35 "," $15,601,592.81 "," $16,834,359.13 "," $18,021,287.11 "," $19,161,649.42 "," $20,254,723.29 "," $21,299,791.12 "," $22,296,141.21 "," $23,243,068.48 "," $24,139,875.21 "," $24,970,999.86 "," $25,735,723.78 "," $26,433,354.74 "," $27,063,228.84 "," $27,624,712.52 "
